time,close,Volume,Global M2 YoY % Change (USD),HR Raw,HR SMA Long,HR SMA Short,Oscillator,Capitulation,Miner Capitulation,Recovering,Recovered,Buy
1154390400,113267200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1157068800,117452300000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1159660800,115199300000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1162339200,118541400000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1164931200,115543600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1167609600,114622300000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1170288000,117694700000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1172707200,112740900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1175385600,106005300000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1177977600,107510500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1180656000,100071200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1183248000,107717100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1185926400,110791700000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1188604800,111032400000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1191196800,107347200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1193875200,111493900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1196467200,111284400000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1199145600,113060400000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1201824000,114247700000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1204329600,113426200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1207008000,107222500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1209600000,110127300000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1212278400,101419900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1214870400,108365200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1217548800,109887000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1220227200,112528700000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1222819200,116802800000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1225497600,121526200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1228089600,122770800000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1230768000,119513500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1233446400,122173000000000,NaN,NaN,NaN,NaN,0.000006033333333333334,NaN,NaN,NaN,0,NaN,0
1235865600,123888600000000,NaN,NaN,NaN,0.000005783333333333334,0.000005566666666666668,NaN,0,1,0,0,0
1238544000,114798300000000,NaN,NaN,NaN,0.000005666666666666667,0.000005766666666666669,NaN,0,0,0,1,1
1241136000,118797300000000,NaN,NaN,NaN,0.000005683333333333336,0.000005600000000000002,NaN,1,1,0,0,0
1243814400,109842900000000,NaN,NaN,NaN,0.000004800000000000001,0.000004000000000000003,NaN,0,1,0,0,0
1246406400,114734900000000,NaN,NaN,NaN,0.000003566666666666668,0.000003133333333333335,NaN,0,1,0,0,0
1249084800,117184200000000,NaN,NaN,NaN,0.000002833333333333331,0.0000026,NaN,0,1,0,0,0
1251763200,116324800000000,NaN,NaN,NaN,0.000003083333333333332,0.000003566666666666667,NaN,0,0,0,1,1
1254355200,111400000000000,NaN,NaN,NaN,0.000003533333333333331,0.000003499999999999999,NaN,1,1,0,0,0
1257033600,117296400000000,NaN,NaN,NaN,0.0000036166666666666645,0.0000037333333333333325,NaN,0,0,0,1,1
1259625600,122533600000000,NaN,NaN,NaN,0.000005316666666666664,0.0000068000000000000035,NaN,0,0,0,0,0
1262304000,122434200000000,NaN,NaN,NaN,0.000008649999999999997,0.000010400000000000005,NaN,0,0,0,0,0
1264982400,126767500000000,NaN,NaN,NaN,0.000016016666666666672,0.000021933333333333336,NaN,0,0,0,0,0
1267401600,121824100000000,NaN,NaN,NaN,0.00002960000000000001,0.000036500000000000006,NaN,0,0,0,0,0
1270080000,114201300000000,NaN,NaN,NaN,0.00005580000000000001,0.0000751,NaN,0,0,0,0,0
1272672000,120958600000000,NaN,NaN,NaN,0.00008858333333333336,0.00010006666666666666,NaN,0,0,0,0,0
1275350400,113233600000000,NaN,NaN,NaN,0.0001195,0.00013893333333333337,NaN,0,0,0,0,0
1277942400,117374200000000,NaN,NaN,NaN,0.0006820333333333333,0.0012220666666666667,NaN,0,0,0,0,0
1280620800,123041400000000,NaN,NaN,NaN,0.0027244166666666667,0.004134566666666667,NaN,0,0,0,0,0
1283299200,120331700000000,NaN,NaN,NaN,0.005788816666666667,0.007443066666666666,NaN,0,0,0,0,0
1285891200,121417100000000,NaN,NaN,NaN,0.011889066666666667,0.016163766666666666,NaN,0,0,0,0,0
1288569600,127045700000000,NaN,NaN,NaN,0.03228974999999999,0.04841573333333333,NaN,0,0,0,0,0
1291161600,128710400000000,NaN,NaN,NaN,0.07710433333333332,0.1041677,NaN,0,0,0,0,0
1293840000,127999600000000,NaN,NaN,NaN,0.12760534999999998,0.14923293333333332,NaN,0,0,0,0,0
1296518400,130118100000000,NaN,NaN,NaN,0.21884291666666664,0.29212476666666665,NaN,0,0,0,0,0
1298937600,142363100000000,NaN,NaN,NaN,0.4177605333333333,0.5370421000000001,NaN,0,0,0,0,0
1301616000,134621299999999.98,NaN,NaN,NaN,0.62957195,0.7221018000000001,NaN,0,0,0,0,0
